machine;description;nature;excution;frequency;nextExecution
M07;SUPORTE DAS GARRAS;MECÂNICO;INSPEÇÃO/REAPERTO/LUBRIFICAÇÃO;A;20
M07;SUPORTE DAS GARRAS;MECÂNICO;INSPEÇÃO/REAPERTO/LUBRIFICAÇÃO;A;20
M07;SUPORTE DAS GARRAS;MECÂNICO;INSPEÇÃO/REAPERTO/LUBRIFICAÇÃO;A;20
M07;AMORTECEDORES A GÁS;MECÂNICO;INSPEÇÃO/REAPERTO/TROCA;6M;20
M07;AMORTECEDORES A GÁS;MECÂNICO;INSPEÇÃO/REAPERTO/TROCA;6M;20
M07;AMORTECEDORES A GÁS;MECÂNICO;INSPEÇÃO/REAPERTO/TROCA;6M;20
M07;AMORTECEDORES A GÁS;MECÂNICO;INSPEÇÃO/REAPERTO/TROCA;6M;20
M07;AMORTECEDORES A GÁS;MECÂNICO;INSPEÇÃO/REAPERTO/TROCA;6M;20
M07;AMORTECEDORES A GÁS;MECÂNICO;INSPEÇÃO/REAPERTO/TROCA;6M;20
M07;AMORTECEDORES A GÁS;MECÂNICO;INSPEÇÃO/REAPERTO/TROCA;6M;20
M07;AMORTECEDORES A GÁS;MECÂNICO;INSPEÇÃO/REAPERTO/TROCA;6M;20
M07;AMORTECEDORES A GÁS;MECÂNICO;INSPEÇÃO/REAPERTO/TROCA;6M;20
M07;AMORTECEDORES A GÁS;MECÂNICO;INSPEÇÃO/REAPERTO/TROCA;6M;20
M07;AMORTECEDORES A GÁS;MECÂNICO;INSPEÇÃO/REAPERTO/TROCA;6M;20
